,index,Число участников,Выданные бюллетени,Бюллетени в урнах,Недействительные бюллетени,Голосов за,Голосов против,ТИК,УИК,Явка%,за%,против%,Адрес,Полный адрес,Name,Location
0,УИК №1,2160,841,841,12,566,263,Александров,1,38.93518518518517,67.30083234244947,31.272294887039237,"601657, Владимирская область, Александровский район, город Александров, улица Геологов, дом 1","601657, Владимирская область, Александровский район, город Александров, улица Геологов, дом 1, здание ГГЭ-30",", здание ГГЭ-30","('38.688679', '56.404742')"
1,УИК №2,812,278,278,0,158,120,Александров,2,34.23645320197045,56.834532374100725,43.165467625899275,"601657, Владимирская область, Александровский район, город Александров, улица Двориковское шоссе, дом  1","601657, Владимирская область, Александровский район, город Александров, улица Двориковское шоссе, дом  1, здание средней общеобразовательной школы №5",", здание средней общеобразовательной школы №5","('38.709942', '56.405843')"
2,УИК №3,811,211,211,2,129,80,Александров,3,26.01726263871763,61.13744075829385,37.91469194312796,"601650, Владимирская область, Александровский район, город Александров, улица Восстания 1905 года, дом 3","601650, Владимирская область, Александровский район, город Александров, улица Восстания 1905 года, дом 3, здание средней общеобразовательной школы №1",", здание средней общеобразовательной школы №1","('38.720335', '56.401843')"
3,УИК №4,1034,452,452,2,318,132,Александров,4,43.7137330754352,70.35398230088495,29.203539823008853,"601653, Владимирская область, Александровский район, город Александров, улица Заводская, дом 13","601653, Владимирская область, Александровский район, город Александров, улица Заводская, дом 13, здание бывшего опорного пункта милиции",", здание бывшего опорного пункта милиции","('38.728851', '56.413398')"
4,УИК №5,1948,854,854,2,662,190,Александров,5,43.83983572895277,77.51756440281032,22.248243559718965,"601650, Владимирская область, Александровский район, город Александров, улица Стрелецкая набережная, дом 1","601650, Владимирская область, Александровский район, город Александров, улица Стрелецкая набережная, дом 1, здание МБУК ""Клуб ""Искож""",", здание МБУК ""Клуб ""Искож""","('38.729624', '56.392433')"
5,УИК №6,810,341,341,0,253,88,Александров,6,42.09876543209877,74.19354838709677,25.80645161290323,"601650, Владимирская область, Александровский район, город Александров, улица Советская, дом 3","601650, Владимирская область, Александровский район, город Александров, улица Советская, дом 3, здание ""Общественной  организации ветеранов войны, труда, вооруженных сил и правоохранительных органов Александровского района""",", здание ""Общественной  организации ветеранов войны, труда, вооруженных сил и правоохранительных органов Александровского района""","('38.72851', '56.40006')"
6,УИК №7,2519,764,764,4,466,294,Александров,7,30.32949583167924,60.99476439790576,38.481675392670155,"601655, Владимирская область, Александровский район, город Александров, улица  Базунова, -","601655, Владимирская область, Александровский район, город Александров, улица  Базунова, -, здание стадиона ""Рекорд""",", здание стадиона ""Рекорд""","('38.719554', '56.387475')"
7,УИК №8,691,423,423,3,284,136,Александров,8,61.21562952243126,67.13947990543736,32.15130023640662,"601652, Владимирская область, Александровский район, город Александров, улица Советская,, дом 25 А","601652, Владимирская область, Александровский район, город Александров, улица Советская,, дом 25 А, здание МБОУ СОШ № 3",", здание МБОУ СОШ № 3","('38.745389', '56.401201')"
8,УИК №9,2990,994,994,7,570,417,Александров,9,33.244147157190625,57.3440643863179,41.951710261569424,"601655, Владимирская область, Александровский район, город Александров, улица Королева, дом 6","601655, Владимирская область, Александровский район, город Александров, улица Королева, дом 6, здание киноконцертного зала ""Южный""",", здание киноконцертного зала ""Южный""","('38.719392', '56.375204')"
9,УИК №10,2558,832,832,6,566,260,Александров,10,32.52541047693511,68.02884615384616,31.25,"601655, Владимирская область, Александровский район, город Александров, улица Кубасова, дом10","601655, Владимирская область, Александровский район, город Александров, улица Кубасова, дом10, здание МБОУ СОШ № 13",", здание МБОУ СОШ № 13","('38.719203', '56.377223')"
10,УИК №11,2418,792,792,3,551,238,Александров,11,32.754342431761785,69.57070707070707,30.050505050505052,"601655, Владимирская область, Александровский район, город Александров, улица Королева,, дом 2","601655, Владимирская область, Александровский район, город Александров, улица Королева,, дом 2, здание  МБУ ""ФОК ""Олимп",", здание  МБУ ""ФОК ""Олимп","('38.709735', '56.37515')"
11,УИК №12,2271,663,663,11,453,199,Александров,12,29.19418758256275,68.32579185520362,30.01508295625943,"601655, Владимирская область, Александровский район, город Александров, улица Терешковой, дом 5","601655, Владимирская область, Александровский район, город Александров, улица Терешковой, дом 5, здание ОГОУ СПО ""Александровский промышленно-гуманитарный колледж",", здание ОГОУ СПО ""Александровский промышленно-гуманитарный колледж","('38.715107', '56.381704')"
12,УИК №13,585,224,224,3,128,93,Александров,13,38.2905982905983,57.14285714285714,41.517857142857146,"601655, Владимирская область, Александровский район, город Александров, улица Королева, дом 2","601655, Владимирская область, Александровский район, город Александров, улица Королева, дом 2, здание МБУ ""ФОК ""Олимп""",", здание МБУ ""ФОК ""Олимп""","('38.709735', '56.37515')"
13,УИК №14,2238,716,716,9,476,231,Александров,14,31.99285075960679,66.4804469273743,32.262569832402235,"601655, Владимирская область, Александровский район, город Александров, улица Ческа-Липа, дом  5","601655, Владимирская область, Александровский район, город Александров, улица Ческа-Липа, дом  5, здание гимназии №2",", здание гимназии №2","('38.710274', '56.384166')"
14,УИК №15,2514,796,796,14,516,266,Александров,15,31.66268894192522,64.82412060301507,33.417085427135675,"601655, Владимирская область, Александровский район, город Александров, улица  Ческа-Липа, дом  5","601655, Владимирская область, Александровский район, город Александров, улица  Ческа-Липа, дом  5, здание гимназии №2",", здание гимназии №2","('38.710274', '56.384166')"
15,УИК №16,2312,774,774,7,461,306,Александров,16,33.477508650519034,59.560723514211894,39.53488372093023,"601650, Владимирская область, Александровский район, город Александров, улица  Красный переулок, дом 8","601650, Владимирская область, Александровский район, город Александров, улица  Красный переулок, дом 8, здание МУП ""Александровэлектросеть""",", здание МУП ""Александровэлектросеть""","('38.715933', '56.393065')"
16,УИК №17,1375,449,449,3,269,177,Александров,17,32.654545454545456,59.91091314031181,39.42093541202672,"601650, Владимирская область, Александровский район, город Александров, улица Ленина, дом 24","601650, Владимирская область, Александровский район, город Александров, улица Ленина, дом 24, здание Центра детского творчества",", здание Центра детского творчества","('38.718278', '56.397235')"
17,УИК №18,1374,566,566,5,413,148,Александров,18,41.19359534206696,72.96819787985865,26.14840989399293,"601650, Владимирская область, Александровский район, город Александров, улица Ленина, дом 24","601650, Владимирская область, Александровский район, город Александров, улица Ленина, дом 24, МБУДО ""АРЦДО ""Дар""",", МБУДО ""АРЦДО ""Дар""","('38.718278', '56.397235')"
18,УИК №19,2101,793,793,7,502,284,Александров,19,37.74393146120895,63.303909205548536,35.813366960907935,"601650, Владимирская область, Александровский район, город Александров, улица Восстания 1905 года, дом  3","601650, Владимирская область, Александровский район, город Александров, улица Восстания 1905 года, дом  3, здание средней общеобразовательной школы №1",", здание средней общеобразовательной школы №1","('38.720335', '56.401843')"
19,УИК №20,2236,717,717,8,471,238,Александров,20,32.06618962432916,65.69037656903765,33.19386331938633,"601650, Владимирская область, Александровский район, город Александров, улица Первомайская, дом 89","601650, Владимирская область, Александровский район, город Александров, улица Первомайская, дом 89, здание детской школы искусств",", здание детской школы искусств","('38.723955', '56.399532')"
20,УИК №21,1978,672,672,8,432,232,Александров,21,33.973710819009106,64.28571428571429,34.52380952380953,"601654, Владимирская область, Александровский район, город Александров, улица Перфильева, дом 3а","601654, Владимирская область, Александровский район, город Александров, улица Перфильева, дом 3а, здание средней общеобразовательной школы №14",", здание средней общеобразовательной школы №14","('38.704543', '56.394286')"
21,УИК №22,2123,840,840,5,556,279,Александров,22,39.56665096561471,66.19047619047619,33.214285714285715,"601650, Владимирская область, Александровский район, город Александров, улица Ленина, дом 5","601650, Владимирская область, Александровский район, город Александров, улица Ленина, дом 5, здание Центральной городской библиотеки",", здание Центральной городской библиотеки","('38.711029', '56.397544')"
22,УИК №23,1882,623,623,6,405,212,Александров,23,33.103081827842715,65.00802568218299,34.02889245585875,"601651, Владимирская область, Александровский район, город Александров, улица Маяковского, дом  50","601651, Владимирская область, Александровский район, город Александров, улица Маяковского, дом  50, здание средней общеобразовательной школы №3",", здание средней общеобразовательной школы №3","('38.680064', '56.384076')"
23,УИК №24,2257,572,572,7,388,177,Александров,24,25.34337616304829,67.83216783216784,30.944055944055943,"601651, Владимирская область, Александровский район, город Александров, улица Маяковского, дом 30","601651, Владимирская область, Александровский район, город Александров, улица Маяковского, дом 30, МУП ""Александровские тепловые системы""",", МУП ""Александровские тепловые системы""","('38.688436', '56.388461')"
24,УИК №25,1461,733,733,7,531,195,Александров,25,50.171115674195754,72.44201909959072,26.60300136425648,"601652, Владимирская область, Александровский район, город Александров, улица Советская, дом 25а","601652, Владимирская область, Александровский район, город Александров, улица Советская, дом 25а, здание средней общеобразовательной школы №3",", здание средней общеобразовательной школы №3","('38.745389', '56.401201')"
25,УИК №26,1781,533,533,7,333,193,Александров,26,29.927007299270077,62.476547842401494,36.21013133208256,"601630, Владимирская область, Александровский район, поселок Балакирево, улица Вокзальная, дом 15","601630, Владимирская область, Александровский район, поселок Балакирево, улица Вокзальная, дом 15, здание ДК ""Юность""",", здание ДК ""Юность""","('38.847833', '56.507149')"
26,УИК №27,1261,425,425,6,281,138,Александров,27,33.70340999206979,66.11764705882352,32.47058823529412,"601630, Владимирская область, Александровский район, поселок Балакирево, квартал Юго-Западный, дом 1 а","601630, Владимирская область, Александровский район, поселок Балакирево, квартал Юго-Западный, дом 1 а, МБОУ СОШ № 36",", МБОУ СОШ № 36","('38.833191', '56.50167')"
27,УИК №28,1820,653,653,9,424,220,Александров,28,35.87912087912088,64.93108728943339,33.6906584992343,"601630, Владимирская область, Александровский район, поселок Балакирево, улица Юго-Западный квартал, дом 1а","601630, Владимирская область, Александровский район, поселок Балакирево, улица Юго-Западный квартал, дом 1а, здание средней общеобразовательной школы №36",", здание средней общеобразовательной школы №36","('38.841042', '56.506146')"
28,УИК №29,367,197,197,2,154,41,Александров,29,53.67847411444142,78.17258883248729,20.812182741116754,"601630, Владимирская область, Александровский район, Следневское сельское поселение, село Мошнино, улица Владимирская, дом 31","601630, Владимирская область, Александровский район, Следневское сельское поселение, село Мошнино, улица Владимирская, дом 31, здание Сельского Дома культуры",", здание Сельского Дома культуры","('38.837988', '56.463854')"
29,УИК №30,638,356,356,2,264,90,Александров,30,55.799373040752364,74.15730337078651,25.280898876404496,"601611, Владимирская область, Александровский район, Следневское сельское поселение, село Бакшеево, улица Центральная, дом  4","601611, Владимирская область, Александровский район, Следневское сельское поселение, село Бакшеево, улица Центральная, дом  4, Сельский Дом культуры",", Сельский Дом культуры","('38.706717', '56.44927')"
30,УИК №31,816,430,430,2,345,83,Александров,31,52.69607843137255,80.23255813953489,19.302325581395348,"601620, Владимирская область, Александровский район, Следневское сельское поселение, деревня Следнево, улица Октябрьский квартал, дом 8","601620, Владимирская область, Александровский район, Следневское сельское поселение, деревня Следнево, улица Октябрьский квартал, дом 8, здание Администрации Следневского с/поселения",", здание Администрации Следневского с/поселения","('38.600689', '56.416749')"
31,УИК №32,962,418,418,1,343,74,Александров,32,43.451143451143466,82.05741626794259,17.703349282296653,"601602, Владимирская область, Александровский район, Следневское сельское поселение, деревня Арсаки, -, дом 110","601602, Владимирская область, Александровский район, Следневское сельское поселение, деревня Арсаки, -, дом 110, здание Администрации Следневского с/поселения",", здание Администрации Следневского с/поселения","('38.479111', '56.384555')"
32,УИК №33,310,217,217,2,186,29,Александров,33,70.0,85.71428571428571,13.36405529953917,"601623, Владимирская область, Александровский район, Краснопламенское сельское поселение, деревня Лисавы, улица  Центральная, дом  1","601623, Владимирская область, Александровский район, Краснопламенское сельское поселение, деревня Лисавы, улица  Центральная, дом  1, Лисавский сельский дом культуры",", Лисавский сельский дом культуры","('38.531446', '56.544396')"
33,УИК №34,785,432,432,4,344,84,Александров,34,55.03184713375797,79.62962962962962,19.44444444444445,"601623, Владимирская область, Александровский район, Краснопламенское сельское поселение, поселок Красное Пламя, улица  Центральная, дом 6","601623, Владимирская область, Александровский район, Краснопламенское сельское поселение, поселок Красное Пламя, улица  Центральная, дом 6, здание сельского клуба",", здание сельского клуба","('38.540088', '56.55996')"
34,УИК №35,337,194,194,0,151,43,Александров,35,57.56676557863501,77.83505154639175,22.164948453608247,"601624, Владимирская область, Александровский район, Краснопламенское сельское поселение, деревня Лобково, улица Кирпичная, дом 5","601624, Владимирская область, Александровский район, Краснопламенское сельское поселение, деревня Лобково, улица Кирпичная, дом 5, здание конторы СПК ""Лесной""",", здание конторы СПК ""Лесной""","('38.346259', '56.4961')"
35,УИК №36,379,212,212,3,145,64,Александров,36,55.936675461741416,68.39622641509435,30.188679245283016,"601624, Владимирская область, Александровский район, Краснопламенское сельское поселение, поселок Искра, улица Кооперативная, дом  1","601624, Владимирская область, Александровский район, Краснопламенское сельское поселение, поселок Искра, улица Кооперативная, дом  1, здание администрации Краснопламенского с/п",", здание администрации Краснопламенского с/п","('38.383736', '56.527366')"
36,УИК №37,199,145,145,0,112,33,Александров,37,72.8643216080402,77.24137931034483,22.75862068965517,"601616, Владимирская область, Александровский район, Андреевское сельское поселение, село Долгополье, -, -","601616, Владимирская область, Александровский район, Андреевское сельское поселение, село Долгополье, -, -, здание Сельского Дома культуры",", здание Сельского Дома культуры","('39.221514', '56.532286')"
37,УИК №38,176,101,100,0,73,27,Александров,38,56.81818181818182,73.0,27.0,"601614, Владимирская область, Александровский район, Андреевское сельское поселение, село Годуново, улица  Новая, дом  15","601614, Владимирская область, Александровский район, Андреевское сельское поселение, село Годуново, улица  Новая, дом  15, МБУ ООШ №33",", МБУ ООШ №33","('39.039579', '56.484725')"
38,УИК №39,400,260,260,1,202,57,Александров,39,65.0,77.69230769230771,21.923076923076927,"601614, Владимирская область, Александровский район, Андреевское сельское поселение, село Годуново, улица Новая, дом 15","601614, Владимирская область, Александровский район, Андреевское сельское поселение, село Годуново, улица Новая, дом 15, МБУ ООШ №33",", МБУ ООШ №33","('39.039579', '56.484725')"
39,УИК №40,447,232,232,1,160,71,Александров,40,51.90156599552572,68.96551724137932,30.603448275862068,"601613, Владимирская область, Александровский район, Андреевское сельское поселение, поселок Майский, улица  Первомайская, дом 16","601613, Владимирская область, Александровский район, Андреевское сельское поселение, поселок Майский, улица  Первомайская, дом 16, здание сельского Дома культуры",", здание сельского Дома культуры","('38.879094', '56.425143')"
40,УИК №41,159,84,84,1,53,30,Александров,41,52.83018867924528,63.0952380952381,35.714285714285715,"601613, Владимирская область, Александровский район, Андреевское сельское поселение, поселок Майский, улица  Первомайская, дом 16","601613, Владимирская область, Александровский район, Андреевское сельское поселение, поселок Майский, улица  Первомайская, дом 16, здание сельского Дома культуры",", здание сельского Дома культуры","('38.879094', '56.425143')"
41,УИК №42,531,221,221,2,143,76,Александров,42,41.6195856873823,64.70588235294117,34.38914027149321,"601600, Владимирская область, Александровский район, Андреевское сельское поселение, поселок Светлый, улица  Центральная, дом 12","601600, Владимирская область, Александровский район, Андреевское сельское поселение, поселок Светлый, улица  Центральная, дом 12, здание Сельского клуба",", здание Сельского клуба","('38.778735', '56.413791')"
42,УИК №43,323,227,227,1,171,55,Александров,43,70.27863777089783,75.33039647577094,24.22907488986784,"601600, Владимирская область, Александровский район, Андреевское сельское поселение, деревня Елькино, улица Новая, дом 37","601600, Владимирская область, Александровский район, Андреевское сельское поселение, деревня Елькино, улица Новая, дом 37, здание администрации Андреевского сельского поселения",", здание администрации Андреевского сельского поселения","('38.821845', '56.393554')"
43,УИК №44,445,217,217,4,153,60,Александров,44,48.76404494382022,70.50691244239631,27.649769585253463,"601600, Владимирская область, Александровский район, Андреевское сельское поселение, деревня Легково, улица  Весенняя, дом 3","601600, Владимирская область, Александровский район, Андреевское сельское поселение, деревня Легково, улица  Весенняя, дом 3, Недюревский сельский дом культуры",", Недюревский сельский дом культуры","('38.886919', '56.392478')"
44,УИК №45,811,380,380,7,258,115,Александров,45,46.855733662145504,67.89473684210526,30.26315789473684,"601612, Владимирская область, Александровский район, Андреевское сельское поселение, село Андреевское, улица Советская, дом  13","601612, Владимирская область, Александровский район, Андреевское сельское поселение, село Андреевское, улица Советская, дом  13, здание Сельского Дома культуры",", здание Сельского Дома культуры","('39.009332', '56.40277')"
45,УИК №46,603,291,291,2,229,60,Александров,46,48.2587064676617,78.69415807560138,20.618556701030926,"601600, Владимирская область, Александровский район, Андреевское сельское поселение, поселок Маяк, улица Лесная, дом 1","601600, Владимирская область, Александровский район, Андреевское сельское поселение, поселок Маяк, улица Лесная, дом 1, здание конторы филиала ГУП ""ДСУ-3"" ""ДСУ-2""",", здание конторы филиала ГУП ""ДСУ-3"" ""ДСУ-2""","('38.814434', '56.376042')"
46,УИК №47,397,192,192,0,163,29,Александров,47,48.36272040302267,84.89583333333334,15.104166666666664,"601619, Владимирская область, Александровский район, Андреевское сельское поселение, деревня Бакино, улица  Центральная, дом 10","601619, Владимирская область, Александровский район, Андреевское сельское поселение, деревня Бакино, улица  Центральная, дом 10, здание Сельского клуба",", здание Сельского клуба","('38.978951', '56.334378')"
47,УИК №48,610,377,377,1,295,81,Александров,48,61.80327868852458,78.24933687002653,21.485411140583555,"601603, Владимирская область, Александровский район, Каринское сельское поселение, село Большое Каринское, улица Деревенская, дом 56","601603, Владимирская область, Александровский район, Каринское сельское поселение, село Большое Каринское, улица Деревенская, дом 56, МБУК ""ИДК""",", МБУК ""ИДК""","('38.652153', '56.369611')"
48,УИК №49,403,238,238,1,202,35,Александров,49,59.05707196029778,84.87394957983193,14.705882352941178,"601632, Владимирская область, Александровский район, Каринское сельское поселение, село Махра, улица Школьная, дом 1","601632, Владимирская область, Александровский район, Каринское сельское поселение, село Махра, улица Школьная, дом 1, Сельский дом культуры",", Сельский дом культуры","('38.680899', '56.269036')"
49,УИК №50,227,147,146,1,115,30,Александров,50,64.31718061674009,78.76712328767123,20.54794520547945,"601632, Владимирская область, Александровский район, Каринское сельское поселение, село Махра, улица Монастырская, дом  11а","601632, Владимирская область, Александровский район, Каринское сельское поселение, село Махра, улица Монастырская, дом  11а, здание основной общеобразовательной школы №18 им. А.С. Андрушечко",", здание основной общеобразовательной школы №18 им. А.С. Андрушечко","('38.678941', '56.268821')"
50,УИК №51,845,438,438,8,288,142,Александров,51,51.834319526627205,65.75342465753424,32.42009132420091,"601605, Владимирская область, Александровский район, Каринское сельское поселение, деревня Лизуново, улица Мусатова, дом 54","601605, Владимирская область, Александровский район, Каринское сельское поселение, деревня Лизуново, улица Мусатова, дом 54, здание Селького Дома культуры",", здание Селького Дома культуры","('38.496206', '56.29552')"
51,УИК №52,1495,480,480,2,408,70,Александров,52,32.10702341137124,85.0,14.583333333333336,"601640, Владимирская область, Александровский район, город Карабаново, улица  Торговая площадь, дом  3","601640, Владимирская область, Александровский район, город Карабаново, улица  Торговая площадь, дом  3, здание МБУК ""Дом культуры""",", здание МБУК ""Дом культуры""","('38.708451', '56.310882')"
52,УИК №53,2097,578,578,5,413,160,Александров,53,27.56318550309967,71.45328719723183,27.681660899653977,"601642, Владимирская область, Александровский район, город Карабаново, улица Площадь Лермонтова, дом 15","601642, Владимирская область, Александровский район, город Карабаново, улица Площадь Лермонтова, дом 15, здание средней общеобразовательной школы №8",", здание средней общеобразовательной школы №8","('38.699512', '56.30843')"
53,УИК №54,1422,406,406,3,283,120,Александров,54,28.55133614627285,69.70443349753694,29.556650246305427,"601642, Владимирская область, Александровский район, город Карабаново, улица Площадь Лермонтова, дом 15","601642, Владимирская область, Александровский район, город Карабаново, улица Площадь Лермонтова, дом 15, здание средней общеобразовательной школы №8",", здание средней общеобразовательной школы №8","('38.699512', '56.30843')"
54,УИК №55,1363,342,342,1,244,97,Александров,55,25.091709464416734,71.34502923976608,28.362573099415197,"601642, Владимирская область, Александровский район, город Карабаново, улица Мира, дом 11","601642, Владимирская область, Александровский район, город Карабаново, улица Мира, дом 11, АРЦ ДО ""ДАР""",", АРЦ ДО ""ДАР""","('38.69944', '56.310937')"
55,УИК №56,2280,621,620,7,447,166,Александров,56,27.19298245614036,72.09677419354837,26.774193548387107,"601640, Владимирская область, Александровский район, город Карабаново, улица Вокзальная, дом 11","601640, Владимирская область, Александровский район, город Карабаново, улица Вокзальная, дом 11, здание средней общеобразовательной школы №9",", здание средней общеобразовательной школы №9","('38.703815', '56.313888')"
56,УИК №57,2093,644,644,4,460,180,Александров,57,30.76923076923077,71.42857142857143,27.95031055900621,"601642, Владимирская область, Александровский район, город Карабаново, улица Победы, дом 7","601642, Владимирская область, Александровский район, город Карабаново, улица Победы, дом 7, здание средней общеобразовательной школы №7",", здание средней общеобразовательной школы №7","('38.692308', '56.307147')"
57,УИК №58,2290,477,477,2,372,103,Александров,58,20.829694323144103,77.9874213836478,21.59329140461216,"601670, Владимирская область, Александровский район, город Струнино, улица Фрунзе, дом 1","601670, Владимирская область, Александровский район, город Струнино, улица Фрунзе, дом 1, здание средней общеобразовательной школы №11",", здание средней общеобразовательной школы №11","('38.580818', '56.376157')"
58,УИК №59,1491,368,368,0,267,101,Александров,59,24.681421864520456,72.55434782608695,27.44565217391305,"601671, Владимирская область, Александровский район, город Струнино, улица Шувалова, дом 14а","601671, Владимирская область, Александровский район, город Струнино, улица Шувалова, дом 14а, здание средней общеобразовательной школы №10",", здание средней общеобразовательной школы №10","('38.591355', '56.36464')"
59,УИК №60,2075,536,536,8,392,136,Александров,60,25.83132530120482,73.13432835820895,25.373134328358212,"601670, Владимирская область, Александровский район, город Струнино, улица Клубный переулок, дом 1","601670, Владимирская область, Александровский район, город Струнино, улица Клубный переулок, дом 1, здание МКДУ ""Струнинский Дом культуры"", малый зал",", здание МКДУ ""Струнинский Дом культуры"", малый зал","('38.586917', '56.369501')"
60,УИК №61,1419,363,363,1,262,100,Александров,61,25.58139534883721,72.17630853994491,27.54820936639118,"601671, Владимирская область, Александровский район, город Струнино, улица Воронина, дом 3","601671, Владимирская область, Александровский район, город Струнино, улица Воронина, дом 3, здание МУ ""Дом спорта""",", здание МУ ""Дом спорта""","('38.585184', '56.365777')"
61,УИК №62,2106,571,571,5,402,164,Александров,62,27.11301044634378,70.40280210157619,28.7215411558669,"601671, Владимирская область, Александровский район, город Струнино, улица Заречная, дом 9","601671, Владимирская область, Александровский район, город Струнино, улица Заречная, дом 9, здание средней общеобразовательной школы №10",", здание средней общеобразовательной школы №10","('38.581671', '56.369561')"
62,УИК №63,1604,316,316,2,227,87,Александров,63,19.70074812967581,71.83544303797468,27.531645569620252,"601671, Владимирская область, Александровский район, город Струнино, улица Шувалова, дом 14 А","601671, Владимирская область, Александровский район, город Струнино, улица Шувалова, дом 14 А, здание общеобразовательной школы  №10",", здание общеобразовательной школы  №10","('38.591355', '56.36464')"
63,УИК №64,888,473,473,3,354,116,Александров,64,53.26576576576577,74.84143763213531,24.52431289640592,"601654, Владимирская область, Александровский район, город Александров, улица Перфильева, дом 3 А","601654, Владимирская область, Александровский район, город Александров, улица Перфильева, дом 3 А, здание общеобразовательной школы  №14",", здание общеобразовательной школы  №14","('38.704543', '56.394286')"
64,УИК №65,1319,688,688,3,524,161,Александров,65,52.16072782410917,76.16279069767442,23.40116279069768,"601652, Владимирская область, Александровский район, город Александров, улица Кольчугинская, дом 41","601652, Владимирская область, Александровский район, город Александров, улица Кольчугинская, дом 41, Филиал ГУП ""ДРСУ-3"" ""Александровское ДРСУ""",", Филиал ГУП ""ДРСУ-3"" ""Александровское ДРСУ""","('38.758091', '56.397171')"
65,УИК №66,1306,478,478,2,342,134,Александров,66,36.60030627871363,71.54811715481172,28.033472803347287,"601630, Владимирская область, Александровский район, поселок Балакирево, улица Октябрьская, дом  2","601630, Владимирская область, Александровский район, поселок Балакирево, улица Октябрьская, дом  2, ВО ""Балакиревский гуманитарно-правовой колледж""",", ВО ""Балакиревский гуманитарно-правовой колледж""","('38.844554', '56.507527')"
66,УИК №72,517,220,220,2,156,62,Киржач,72,42.5531914893617,70.9090909090909,28.18181818181818,"601010, Владимирская область, Киржачский район, город Киржач, улица Гагарина, 25","601010, Владимирская область, Киржачский район, город Киржач, улица Гагарина, 25, здание средней школы № 2",", здание средней школы № 2","('38.869177', '56.161183')"
67,УИК №73,842,437,437,7,298,132,Киржач,73,51.9002375296912,68.19221967963387,30.20594965675057,"601010, Владимирская область, Киржачский район, город Киржач, улица Фрунзе, 2а","601010, Владимирская область, Киржачский район, город Киржач, улица Фрунзе, 2а, здание МУП ""Водоканал""",", здание МУП ""Водоканал""","('38.867919', '56.168947')"
